income_group,countries,export_dependency,import_dependency,trade_openness,investment_ratio,government_share,household_share,agriculture_share,services_share,gdp_per_person,investment_per_person,exports_per_person,imports_per_person
High Income," Andorra ,  Anguilla ,  Antigua and Barbuda ,  Aruba ,  Australia ,  Austria ,  Bahamas ,  Bahrain ,  Barbados ,  Belgium ,  Bermuda ,  British Virgin Islands ,  Brunei Darussalam ,  Canada ,  Cayman Islands ,  Chile ,  China, Hong Kong SAR ,  China, Macao SAR ,  Cook Islands ,  Croatia ,  Curaçao ,  Cyprus ,  Czechia ,  Denmark ,  Estonia ,  Finland ,  France ,  French Polynesia ,  Germany ,  Greece ,  Greenland ,  Hungary ,  Iceland ,  Ireland ,  Israel ,  Italy ,  Japan ,  Kuwait ,  Latvia ,  Liechtenstein ,  Lithuania ,  Luxembourg ,  Malta ,  Monaco ,  Montserrat ,  Nauru ,  Netherlands ,  New Caledonia ,  New Zealand ,  Norway ,  Oman ,  Palau ,  Panama ,  Poland ,  Portugal ,  Puerto Rico ,  Qatar ,  Republic of Korea ,  Romania ,  Saint Kitts and Nevis ,  San Marino ,  Saudi Arabia ,  Singapore ,  Sint Maarten (Dutch part) ,  Slovakia ,  Slovenia ,  Spain ,  Sweden ,  Switzerland ,  Trinidad and Tobago ,  Turks and Caicos Islands ,  United Arab Emirates ,  United Kingdom ,  United States ,  Uruguay ",0.628,0.606,1.234,0.234,0.213,0.528,0.019,0.438,44518.783,10310.478,30547.407,27057.346
Low Income," Afghanistan ,  Burkina Faso ,  Burundi ,  Central African Republic ,  Chad ,  D.P.R. of Korea ,  D.R. of the Congo ,  Eritrea ,  Ethiopia ,  Gambia ,  Guinea ,  Guinea-Bissau ,  Liberia ,  Madagascar ,  Malawi ,  Mali ,  Mozambique ,  Myanmar ,  Niger ,  Rwanda ,  Sierra Leone ,  Somalia ,  South Sudan ,  Sudan ,  Syrian Arab Republic ,  Tajikistan ,  Togo ,  U.R. of Tanzania: Mainland ,  Uganda ,  Yemen ,  Zambia ",0.226,0.357,0.583,0.221,0.139,0.766,0.282,0.215,715.492,166.888,174.777,242.917
Lower Middle Income," Algeria ,  Angola ,  Bangladesh ,  Benin ,  Bhutan ,  Bolivia (Plurinational State of) ,  Cabo Verde ,  Cambodia ,  Cameroon ,  Comoros ,  Congo ,  Côte d'Ivoire ,  Djibouti ,  Egypt ,  El Salvador ,  Eswatini ,  Fiji ,  Ghana ,  Haiti ,  Honduras ,  India ,  Indonesia ,  Jordan ,  Kenya ,  Kiribati ,  Kyrgyzstan ,  Lao People's DR ,  Lesotho ,  Mauritania ,  Micronesia (FS of) ,  Mongolia ,  Morocco ,  Nepal ,  Nicaragua ,  Nigeria ,  Pakistan ,  Papua New Guinea ,  Philippines ,  Samoa ,  Sao Tome and Principe ,  Senegal ,  Solomon Islands ,  Sri Lanka ,  State of Palestine ,  Timor-Leste ,  Tunisia ,  Uzbekistan ,  Vanuatu ,  Venezuela (Bolivarian Republic of) ,  Viet Nam ,  Zanzibar ,  Zimbabwe ",0.306,0.454,0.76,0.269,0.173,0.7,0.154,0.288,2716.58,727.244,876.089,1266.963
Upper Middle Income," Albania ,  Argentina ,  Armenia ,  Azerbaijan ,  Belarus ,  Belize ,  Bosnia and Herzegovina ,  Botswana ,  Brazil ,  Bulgaria ,  China ,  Colombia ,  Costa Rica ,  Cuba ,  Dominica ,  Dominican Republic ,  Ecuador ,  Equatorial Guinea ,  Gabon ,  Georgia ,  Grenada ,  Guatemala ,  Guyana ,  Iran (Islamic Republic of) ,  Iraq ,  Jamaica ,  Kazakhstan ,  Kosovo ,  Lebanon ,  Libya ,  Malaysia ,  Maldives ,  Marshall Islands ,  Mauritius ,  Mexico ,  Montenegro ,  Namibia ,  North Macedonia ,  Paraguay ,  Peru ,  Republic of Moldova ,  Russian Federation ,  Saint Lucia ,  Serbia ,  Seychelles ,  South Africa ,  St. Vincent and the Grenadines ,  Suriname ,  Thailand ,  Tonga ,  Turkmenistan ,  Tuvalu ,  Türkiye ,  Ukraine ",0.403,0.472,0.875,0.237,0.196,0.635,0.075,0.344,7693.822,1849.665,3213.145,3608.996
