country,export_dependency
 Luxembourg ,2.11680447981541
" China, Hong Kong SAR ",2.035230352303523
 Singapore ,1.848866498740554
 San Marino ,1.7909002700731846
 Malta ,1.7034780112861234
 Djibouti ,1.5151557826296194
 Ireland ,1.3452380952380953
 British Virgin Islands ,1.1191875104826945
 Seychelles ,1.1151991184845305
 United Arab Emirates ,1.0493827160493827
 Sint Maarten (Dutch part) ,1.0232327907863312
 Viet Nam ,0.9344262295081968
 Slovakia ,0.9316239316239316
 Bahrain ,0.9065032138973321
" China, Macao SAR ",0.882993742821397
 Belgium ,0.8686868686868687
 Cyprus ,0.866167892776742
 Cook Islands ,0.8483700088319758
 Slovenia ,0.8362992095329911
 Netherlands ,0.8316831683168316
 Guyana ,0.8246400813877635
 Hungary ,0.8131868131868132
 Lithuania ,0.8049219393499013
 Brunei Darussalam ,0.8016891085615483
 Estonia ,0.7829665167257485
 Turks and Caicos Islands ,0.778200629239291
 Anguilla ,0.7594258212965229
 Maldives ,0.7579142853494826
 Turkmenistan ,0.7424414572163592
 Czechia ,0.7269503546099291
 Belarus ,0.7211080014962629
 Switzerland ,0.6998769987699877
 Liechtenstein ,0.6994471664462105
 Puerto Rico ,0.6901943925233645
 Aruba ,0.6891293232822321
 Malaysia ,0.6890080428954424
 Congo ,0.6877613274461678
 North Macedonia ,0.6593120700224997
 Guinea ,0.644455840639338
 Latvia ,0.6347047186863524
 Cayman Islands ,0.6189799614459466
 Bulgaria ,0.6132622796682128
 Mongolia ,0.5982149939337964
 Denmark ,0.5979899497487438
 Qatar ,0.5888888888888889
 Cambodia ,0.5882340097948465
 Thailand ,0.5830039525691699
 Poland ,0.5787923416789397
 Austria ,0.5604166666666667
 Curaçao ,0.5520568699823344
 Suriname ,0.5478341235981956
 Equatorial Guinea ,0.5451205131242488
 Serbia ,0.5440052968442287
 Zambia ,0.5396305797568032
 Gabon ,0.5324868796619826
 Oman ,0.5252660186022149
 Kuwait ,0.524544345489051
 Croatia ,0.5127801183915965
 Panama ,0.5106400819052712
 Antigua and Barbuda ,0.5094559076836476
 Bermuda ,0.49764036896612057
 Germany ,0.4694835680751174
 Nicaragua ,0.4683925360587361
 Azerbaijan ,0.46661720029651144
 Belize ,0.46481409986989586
 Trinidad and Tobago ,0.46389981042192596
 Lesotho ,0.45988641286813803
 Eswatini ,0.45880390602442317
 Papua New Guinea ,0.45868694674806765
 Sweden ,0.45440251572327045
 Lebanon ,0.44666544647865114
