,trade_openness,trade_openness,trade_openness,trade_openness,trade_openness,investment_ratio,investment_ratio,investment_ratio,investment_ratio,investment_ratio,government_share,government_share,government_share,government_share,government_share,household_share,household_share,household_share,household_share,household_share,agriculture_share,agriculture_share,agriculture_share,agriculture_share,agriculture_share,services_share,services_share,services_share,services_share,services_share,export_dependency,export_dependency,export_dependency,export_dependency,export_dependency,import_dependency,import_dependency,import_dependency,import_dependency,import_dependency
,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max,mean,median,std,min,max
income_group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Income,1.234,0.939,0.774,0.255,4.024,0.234,0.231,0.056,0.106,0.385,0.213,0.209,0.095,0.07,0.705,0.528,0.527,0.141,0.199,0.942,0.019,0.015,0.024,0.0,0.18,0.438,0.428,0.104,0.19,0.758,0.628,0.513,0.432,0.047,2.117,0.606,0.527,0.364,0.146,1.989
Low Income,0.583,0.535,0.245,0.17,1.167,0.221,0.216,0.1,0.046,0.498,0.139,0.128,0.055,0.068,0.276,0.766,0.723,0.198,0.395,1.405,0.282,0.254,0.135,0.029,0.669,0.215,0.21,0.071,0.066,0.323,0.226,0.201,0.139,0.059,0.644,0.357,0.348,0.154,0.111,0.858
Lower Middle Income,0.76,0.656,0.487,0.226,3.287,0.269,0.259,0.102,0.079,0.572,0.173,0.146,0.117,0.051,0.705,0.7,0.688,0.145,0.421,1.021,0.154,0.142,0.076,0.012,0.373,0.288,0.276,0.082,0.146,0.518,0.306,0.258,0.243,0.047,1.515,0.454,0.402,0.277,0.118,1.771
Upper Middle Income,0.875,0.805,0.381,0.103,2.358,0.237,0.225,0.089,0.038,0.495,0.196,0.163,0.134,0.04,0.929,0.635,0.626,0.18,0.11,1.269,0.075,0.067,0.043,0.017,0.235,0.344,0.324,0.095,0.172,0.641,0.403,0.379,0.201,0.055,1.115,0.472,0.463,0.226,0.048,1.243
